Comment,Designator,Footprint,LSC Part Number
10uF,C7,0603,C91150
10nF,C8,0603,C307346
1µF,C10,0603,C106858
10nF 25V,C3,0603,C302008
100nF,"C1, C2, C4, C5, C6, C9",0603,C14663
LED Green,D1,0603,C473820
LED Red,"D3, D2, D4",0603,C2286
4k7,"R1, R2, R3, R8",0603,C285218
1k,"R4, R5, R6, R7",0603,C375503
BME688,U1,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,C3664478
L3GD20H,U2,LGA-16_3x3mm_P0.5mm,C128360
BMM150,U3,WLCSP-12_1.56x1.56mm_P0.4mm,C171681
TMP112AIDRLT,U4,SOT-563,C28927
ADXL345BCCZ-RL,U5,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,C9667
